Cluster,FIPS Code
0,22127
0,13075
0,5017
0,13161
0,21127
0,13289
0,48489
0,13035
0,46089
0,45029
0,47101
0,5077
0,13319
0,47045
0,37005
0,2180
0,2188
0,37111
0,13171
0,48123
0,51029
0,47091
0,48377
0,47097
0,45027
0,21013
0,47007
0,13007
0,21043
0,48161
0,13065
0,13129
0,48407
0,28053
0,13213
0,21147
0,5067
0,28063
0,48155
0,47129
0,5147
0,24019
0,48127
0,22083
0,40001
0,1063
0,38057
0,48271
0,13057
0,13083
0,13303
0,13111
0,22107
0,47169
0,21231
0,5079
0,45005
0,5055
0,51021
0,51009
0,48215
0,13271
0,29207
0,13131
0,45025
0,21001
0,47181
0,21159
0,51037
0,40023
0,48373
0,40069
0,13165
0,38051
0,5037
0,13199
0,22013
0,21031
0,1071
0,51027
0,37075
0,51173
0,28069
0,13285
0,37073
0,22003
0,21195
0,38047
0,1011
0,47039
0,28119
0,21197
0,13267
0,13003
0,13217
0,13069
0,2050
0,48089
0,48477
0,5129
0,45061
0,54109
0,47069
0,47109
0,29017
0,37141
0,51067
0,37039
0,13123
0,45023
0,40005
0,13209
0,48405
0,13093
0,51167
0,47133
0,13311
0,37069
0,13013
0,21121
0,13249
0,21119
0,13201
0,21221
0,1029
0,22091
0,21011
0,1093
0,29157
0,2070
0,54031
0,13207
0,51075
0,13309
0,21045
0,2185
0,37137
0,13055
0,1105
0,13005
0,37117
0,37059
0,13079
0,28157
0,21063
0,21125
0,37145
0,35033
0,22007
0,5121
0,37131
0,51183
0,13173
0,13091
0,21201
0,21065
0,13103
0,48021
0,21085
0,48387
0,37079
0,51063
0,47035
0,5087
0,47027
0,45033
0,47095
0,21189
0,22081
0,37095
0,28057
0,13101
0,21003
0,13029
0,51195
0,45087
0,51051
0,47161
0,47123
0,13313
0,21153
0,13147
0,5137
0,47081
0,12059
0,48177
0,28011
0,13149
0,48301
0,51125
0,21137
0,1041
0,13027
0,1013
0,47087
0,1007
0,13265
0,51169
0,54007
0,51033
0,5101
0,5107
0,45039
0,54019
0,13157
0,13197
0,13241
0,13009
0,21237
0,48403
0,21053
0,54015
0,54043
0,13117
0,21025
0,21129
0,51127
0,51175
0,1065
0,1111
0,51049
0,22047
0,21203
0,22035
0,48015
0,47135
0,37083
0,47041
0,38007
0,45053
0,1075
0,54087
0,37177
0,48419
0,28015
0,28103
0,47083
0,22001
0,54101
0,13231
0,45069
0,48455
0,37193
0,48151
0,13037
0,28135
0,21193
0,13239
0,5111
0,37009
0,47071
0,47029
0,21169
0,48163
0,24039
0,48287
0,5021
0,13259
0,48507
0,13279
0,13291
0,37115
